airport_id,airport_name,city,country,latitude,longitude
AYGA,Goroka Airport,Goroka,Papua New Guinea,-6.081689835,145.3919983
AYMD,Madang Airport,Madang,Papua New Guinea,-5.207079887,145.7890015
AYMH,Mount Hagen Kagamuga Airport,Mount Hagen,Papua New Guinea,-5.826789856,144.2960052
AYNZ,Nadzab Airport,Nadzab,Papua New Guinea,-6.569803,146.725977
AYPY,Port Moresby Jacksons International Airport,Port Moresby,Papua New Guinea,-9.443380356,147.2200012
AYWK,Wewak International Airport,Wewak,Papua New Guinea,-3.583830118,143.6690063
BGBW,Narsarsuaq Airport,Narssarssuaq,Greenland,61.16049957,-45.42599869
BGGH,Godthaab / Nuuk Airport,Godthaab,Greenland,64.19090271,-51.67810059
BGSF,Kangerlussuaq Airport,Sondrestrom,Greenland,67.0122219,-50.71160316
BGTL,Thule Air Base,Thule,Greenland,76.53119659,-68.70320129
BIAR,Akureyri Airport,Akureyri,Iceland,65.66000366,-18.0727005
BIEG,Egilsstaðir Airport,Egilsstadir,Iceland,65.28330231,-14.40139961
BIHN,Hornafjörður Airport,Hofn,Iceland,64.295601,-15.2272
BIHU,Húsavík Airport,Husavik,Iceland,65.952301,-17.426001
BIIS,Ísafjörður Airport,Isafjordur,Iceland,66.05809784,-23.13529968
BIKF,Keflavik International Airport,Keflavik,Iceland,63.98500061,-22.60560036
BIPA,Patreksfjörður Airport,Patreksfjordur,Iceland,65.555801,-23.965
BIRK,Reykjavik Airport,Reykjavik,Iceland,64.12999725,-21.94059944
BISI,Siglufjörður Airport,Siglufjordur,Iceland,66.133301,-18.9167
BIVM,Vestmannaeyjar Airport,Vestmannaeyjar,Iceland,63.42430115,-20.27890015
CYAM,Sault Ste Marie Airport,Sault Sainte Marie,Canada,46.48500061,-84.50939941
CYAV,Winnipeg / St. Andrews Airport,Winnipeg,Canada,50.0564003,-97.03250122
CYAW,Halifax / CFB Shearwater Heliport,Halifax,Canada,44.639702,-63.499401
CYAY,St. Anthony Airport,St. Anthony,Canada,51.39189911,-56.08309937
CYAZ,Tofino / Long Beach Airport,Tofino,Canada,49.079833,-125.775583
CYBB,Kugaaruk Airport,Pelly Bay,Canada,68.534401,-89.808098
CYBC,Baie Comeau Airport,Baie Comeau,Canada,49.13249969,-68.20439911
CYBG,CFB Bagotville,Bagotville,Canada,48.33060074,-70.99639893
CYBK,Baker Lake Airport,Baker Lake,Canada,64.29889679,-96.07779694
CYBL,Campbell River Airport,Campbell River,Canada,49.95080185,-125.2710037
CYBR,Brandon Municipal Airport,Brandon,Canada,49.91,-99.951897
CYCB,Cambridge Bay Airport,Cambridge Bay,Canada,69.10810089,-105.1380005
CYCD,Nanaimo Airport,Nanaimo,Canada,49.05497022,-123.8698626
CYCG,Castlegar/West Kootenay Regional Airport,Castlegar,Canada,49.29639816,-117.6320038
CYCH,Miramichi Airport,Chatham,Canada,47.007801,-65.449203
CYCL,Charlo Airport,Charlo,Canada,47.990799,-66.330299
CYCO,Kugluktuk Airport,Coppermine,Canada,67.816704,-115.143997
CYCT,Coronation Airport,Coronation,Canada,52.07500076,-111.4449997
CYCW,Chilliwack Airport,Chilliwack,Canada,49.15280151,-121.939003
CYCY,Clyde River Airport,Clyde River,Canada,70.48609924,-68.51670074
CYZS,Coral Harbour Airport,Coral Harbour,Canada,64.19329834,-83.35939789
CYDA,Dawson City Airport,Dawson,Canada,64.04309845,-139.128006
CYDB,Burwash Airport,Burwash,Canada,61.37110138,-139.0410004
CYDC,Princeton Airport,Princeton,Canada,49.4681015,-120.5110016
CYDF,Deer Lake Airport,Deer Lake,Canada,49.21080017,-57.39139938
CYDL,Dease Lake Airport,Dease Lake,Canada,58.42219925,-130.0319977
CYDN,Dauphin Barker Airport,Dauphin,Canada,51.10079956,-100.052002
CYDQ,Dawson Creek Airport,Dawson Creek,Canada,55.74229813,-120.1829987
CYEG,Edmonton International Airport,Edmonton,Canada,53.30970001,-113.5800018
CYEK,Arviat Airport,Eskimo Point,Canada,61.09420013,-94.07080078
CYEN,Estevan Airport,Estevan,Canada,49.21030045,-102.9660034
CYET,Edson Airport,Edson,Canada,53.57889938,-116.4649963
CYEU,Eureka Airport,Eureka,Canada,79.99469757,-85.81420136
CYEV,Inuvik Mike Zubko Airport,Inuvik,Canada,68.30419922,-133.4830017
CYFB,Iqaluit Airport,Iqaluit,Canada,63.756402,-68.555801
CYFC,Fredericton Airport,Fredericton,Canada,45.8689003,-66.53720093
CYFE,Forestville Airport,Forestville,Canada,48.74610138,-69.09719849
CYFO,Flin Flon Airport,Flin Flon,Canada,54.67810059,-101.6819992
CYFR,Fort Resolution Airport,Fort Resolution,Canada,61.18080139,-113.6900024
CYFS,Fort Simpson Airport,Fort Simpson,Canada,61.7602005,-121.2369995
CYGK,Kingston Norman Rogers Airport,Kingston,Canada,44.22529984,-76.59690094
CYGL,La Grande Rivière Airport,La Grande Riviere,Canada,53.62530136,-77.70420074
CYGP,Gaspé (Michel-Pouliot) Airport,Gaspe,Canada,48.77529907,-64.47859955
CYGQ,Geraldton Greenstone Regional Airport,Geraldton,Canada,49.77830124,-86.93939972
CYGR,Îles-de-la-Madeleine Airport,Iles De La Madeleine,Canada,47.42470169,-61.77809906
CYHB,Hudson Bay Airport,Hudson Bay,Canada,52.81669998,-102.310997
CYHD,Dryden Regional Airport,Dryden,Canada,49.831699,-92.744202
CYHI,Ulukhaktok Holman Airport,Holman Island,Canada,70.76280212,-117.8059998
CYHK,Gjoa Haven Airport,Gjoa Haven,Canada,68.63559723,-95.84970093
CYHM,John C. Munro Hamilton International Airport,Hamilton,Canada,43.17359924,-79.93499756
CYHU,Montréal / Saint-Hubert Airport,Montreal,Canada,45.51750183,-73.41690063
CYHY,Hay River / Merlyn Carter Airport,Hay River,Canada,60.83969879,-115.7829971
CYHZ,Halifax / Stanfield International Airport,Halifax,Canada,44.88079834,-63.50859833
CYIB,Atikokan Municipal Airport,Atikokan,Canada,48.77389908,-91.63860321
CYIO,Pond Inlet Airport,Pond Inlet,Canada,72.6832962,-77.96669769
CYJN,St Jean Airport,St. Jean,Canada,45.29439926,-73.28109741
CYJT,Stephenville Airport,Stephenville,Canada,48.5442009,-58.54999924
CYKA,Kamloops Airport,Kamloops,Canada,50.70220184,-120.4440002
CYKF,Waterloo Airport,Waterloo,Canada,43.46080017,-80.37860107
CYKL,Schefferville Airport,Schefferville,Canada,54.80530167,-66.80529785
CYKY,Kindersley Airport,Kindersley,Canada,51.51750183,-109.1809998
CYKZ,Buttonville Municipal Airport,Toronto,Canada,43.86220169,-79.37000275
CYLD,Chapleau Airport,Chapleau,Canada,47.81999969,-83.34670258
CYLJ,Meadow Lake Airport,Meadow Lake,Canada,54.12530136,-108.5230026
CYLL,Lloydminster Airport,Lloydminster,Canada,53.30920029,-110.072998
CYLT,Alert Airport,Alert,Canada,82.51779938,-62.2806015
CYLW,Kelowna International Airport,Kelowna,Canada,49.95610046,-119.3779984
CYMA,Mayo Airport,Mayo,Canada,63.61640167,-135.8679962
CYMJ,Moose Jaw Air Vice Marshal C. M. McEwen Airport,Moose Jaw,Canada,50.33029938,-105.5589981
CYMM,Fort McMurray Airport,Fort Mcmurray,Canada,56.65330124,-111.2220001
CYMO,Moosonee Airport,Moosonee,Canada,51.29109955,-80.60780334
CYMW,Maniwaki Airport,Maniwaki,Canada,46.27280045,-75.99060059
CYMX,Montreal International (Mirabel) Airport,Montreal,Canada,45.679501,-74.038696
CYNA,Natashquan Airport,Natashquan,Canada,50.18999863,-61.78919983
CYND,Ottawa / Gatineau Airport,Gatineau,Canada,45.52170181,-75.56359863
CYNM,Matagami Airport,Matagami,Canada,49.76169968,-77.80280304
CYOC,Old Crow Airport,Old Crow,Canada,67.57060242,-139.8390045
CYOD,CFB Cold Lake,Cold Lake,Canada,54.40499878,-110.2789993
CYOJ,High Level Airport,High Level,Canada,58.62139893,-117.1650009
CYOW,Ottawa Macdonald-Cartier International Airport,Ottawa,Canada,45.32249832,-75.66919708
CYPA,Prince Albert Glass Field,Prince Albert,Canada,53.21419907,-105.6729965
CYPE,Peace River Airport,Peace River,Canada,56.226898,-117.446999
CYPG,Southport Airport,Portage-la-prairie,Canada,49.903099,-98.273817
CYPK,Pitt Meadows Airport,Pitt Meadows,Canada,49.21609879,-122.7099991
CYPL,Pickle Lake Airport,Pickle Lake,Canada,51.44639969,-90.21420288
CYPN,Port Menier Airport,Port Menier,Canada,49.83639908,-64.28859711
CYPQ,Peterborough Airport,Peterborough,Canada,44.22999954,-78.36329651
CYPR,Prince Rupert Airport,Prince Pupert,Canada,54.28609848,-130.4450073
CYPY,Fort Chipewyan Airport,Fort Chipewyan,Canada,58.76720047,-111.1169968
CYQA,Muskoka Airport,Muskoka,Canada,44.97470093,-79.30329895
CYQB,Quebec Jean Lesage International Airport,Quebec,Canada,46.7911,-71.393303
CYQF,Red Deer Regional Airport,Red Deer Industrial,Canada,52.18220139,-113.8939972
CYQG,Windsor Airport,Windsor,Canada,42.27560043,-82.95559692
CYQH,Watson Lake Airport,Watson Lake,Canada,60.11640167,-128.8220062
CYQK,Kenora Airport,Kenora,Canada,49.78829956,-94.36309814
CYQL,Lethbridge County Airport,Lethbridge,Canada,49.63029861,-112.8000031
CYQM,Greater Moncton International Airport,Moncton,Canada,46.11220169,-64.6785965
CYQQ,Comox Airport,Comox,Canada,49.71080017,-124.887001
CYQR,Regina International Airport,Regina,Canada,50.43190002,-104.6660004
CYQT,Thunder Bay Airport,Thunder Bay,Canada,48.37189865,-89.32389832
CYQU,Grande Prairie Airport,Grande Prairie,Canada,55.17969894,-118.8850021
CYQV,Yorkton Municipal Airport,Yorkton,Canada,51.26470184,-102.461998
CYQW,North Battleford Airport,North Battleford,Canada,52.76919937,-108.2440033
CYQX,Gander International Airport,Gander,Canada,48.93690109,-54.56809998
CYQY,Sydney / J.A. Douglas McCurdy Airport,Sydney,Canada,46.1614,-60.047798
CYQZ,Quesnel Airport,Quesnel,Canada,53.02610016,-122.5100021
CYRB,Resolute Bay Airport,Resolute,Canada,74.71690369,-94.9693985
CYRI,Rivière-du-Loup Airport,Riviere Du Loup,Canada,47.76440048,-69.58470154
CYRJ,Roberval Airport,Roberval,Canada,48.52000046,-72.26560211
CYRM,Rocky Mountain House Airport,Rocky Mountain House,Canada,52.42969894,-114.9039993
CYRT,Rankin Inlet Airport,Rankin Inlet,Canada,62.81140137,-92.11579895
CYSB,Sudbury Airport,Sudbury,Canada,46.625,-80.79889679
CYSC,Sherbrooke Airport,Sherbrooke,Canada,45.43859863,-71.69139862
CYSJ,Saint John Airport,St. John,Canada,45.31610107,-65.89029694
CYSM,Fort Smith Airport,Fort Smith,Canada,60.02030182,-111.961998
CYSR,Nanisivik Airport,Nanisivik,Canada,72.982201,-84.613602
