flight_id,departure_time,arrival_time,passenger_count,status
385af40f,1970-01-01T00:00:00+00:00,1970-01-01T00:00:00+00:00,92,Scheduled
385b2e14,1970-01-01T00:00:00+00:00,1970-01-01T00:00:00+00:00,4,Scheduled
385baa85,2024-12-15T14:42:00+00:00,2024-12-15T21:29:00+00:00,189,Landed
385c1e68,1970-01-01T00:00:00+00:00,1970-01-01T00:00:00+00:00,191,Estimated
385c3e91,2024-12-15T19:55:00+00:00,2024-12-16T12:55:00+00:00,116,Landed
385c6eee,2024-12-15T22:15:00+00:00,2024-12-16T15:55:00+00:00,2,Estimated
385c905b,2024-12-15T23:00:00+00:00,2024-12-16T14:55:00+00:00,127,Estimated
385cac08,2024-12-15T21:30:00+00:00,2024-12-16T14:30:00+00:00,141,Landed
385cbc7a,2024-12-16T07:00:00+00:00,2024-12-16T20:20:00+00:00,103,Estimated
385cbeea,1970-01-01T00:00:00+00:00,1970-01-01T00:00:00+00:00,179,Scheduled
385cc3cb,2024-12-15T22:05:00+00:00,2024-12-16T14:40:00+00:00,1,Delayed
385cc447,2024-12-16T00:20:00+00:00,2024-12-16T14:05:00+00:00,1,Landed
385cc648,2024-12-16T00:10:00+00:00,2024-12-16T15:00:00+00:00,123,Estimated
385cc6c1,2024-12-16T13:17:00+00:00,2024-12-16T14:33:00+00:00,3,Landed
385ccc99,2024-12-15T23:35:00+00:00,2024-12-16T15:30:00+00:00,96,Estimated
385ccef8,2024-12-15T22:25:00+00:00,2024-12-16T15:25:00+00:00,162,Estimated
385cd187,2024-12-15T22:15:00+00:00,2024-12-16T14:50:00+00:00,105,Estimated
385cd2b3,2024-12-15T23:01:00+00:00,2024-12-16T03:01:00+00:00,4,Landed
385cd64b,2024-12-15T22:20:00+00:00,2024-12-16T13:00:00+00:00,88,Delayed
385cd718,2024-12-15T22:20:00+00:00,2024-12-16T14:50:00+00:00,108,Estimated
385cd991,2024-12-15T22:40:00+00:00,2024-12-16T14:55:00+00:00,138,Estimated
385cdbe7,2024-12-15T22:45:00+00:00,2024-12-16T14:00:00+00:00,1,Estimated
385cde81,2024-12-16T00:50:00+00:00,2024-12-16T15:50:00+00:00,1,Estimated
