flight_id,flight_number,origin_airport_id,destination_airport_id,airline_id,plane_id
385af40f,,FVRG,FVFA,FJW,E145
385b2e14,A46069,UNOO,UWUU,AZO,SU95
385baa85,FX9887,KMEM,PANC,FDX,B77L
385c1e68,ET506,HAAB,SBGR,ETH,B77L
385c3e91,DL201,FAOR,KATL,DAL,A359
385c6eee,QF4,KJFK,NZAA,QFA,B789
385c905b,QR920,OTHH,NZAA,QTR,A35K
385cac08,DL9887,FAOR,KATL,DAL,A359
385cbc7a,OZ203,KLAX,RKSI,AAR,A359
385cbeea,B6740,TAPA,KJFK,JBU,A320
385cc3cb,AC79,OMDB,CYVR,ACA,B789
385cc447,UA842,YSSY,KLAX,UAL,B789
385cc648,CX257,VHHH,EGLL,CPA,A359
385cc6c1,AA2317,KDCA,KRDU,AAL,A319
385ccc99,EK216,KLAX,OMDB,UAE,A388
385ccef8,QR731,OTHH,KDFW,QTR,B77L
385cd187,EK213,OMDB,KMIA,UAE,B77W
385cd2b3,FX903,KMEM,KOAK,FDX,MD11
385cd64b,QR703,OTHH,KJFK,QTR,B77W
385cd718,QR781,OTHH,KMIA,QTR,A35K
385cd991,EK221,OMDB,KDFW,UAE,B77W
385cdbe7,LY5,LLBG,KLAX,ELY,B789
385cde81,TW401,RKSI,LFPG,TWB,A332
385cdfd2,UX121,LEMD,SACO,AEA,B789
385ce253,TW403,RKSI,EDDF,TWB,A332
385ce5ab,KE35,RKSI,KATL,KAL,B748
385ce690,EK219,OMDB,KMCO,UAE,B77W
385ceaeb,QR740,KLAX,OTHH,QTR,A35K
385cee54,AA8,YBBN,KDFW,AAL,B789
385cef0b,LH8401,ZSPD,EDDF,GEC,B77L
385cef44,DL158,RKSI,KDTW,DAL,A359
385cf331,MU771,ZSPD,EHAM,CES,B77W
385cf332,NZ288,ZSPD,NZAA,ANZ,B789
385cf35c,AC50,CYUL,VIDP,ACA,B789
385cf5ee,AA177,KJFK,KSFO,AAL,A321
385cf698,EK226,KSFO,OMDB,UAE,A388
385cfd7a,KE37,RKSI,KORD,KAL,B77W
385cfdb5,KE73,RKSI,CYYZ,KAL,B77W
385cfe0a,KE9232,KORD,RKSI,KAL,B77L
385cfe0f,EY9,OMAA,KORD,ETD,A35K
385cffd6,K4614,KCVG,RKSI,CKS,B744
385d0067,CI5115,KLAX,RCTP,CAL,B77L
385d01cd,OZ541,RKSI,EDDF,AAR,A359
385d01e7,EK230,KSEA,OMDB,UAE,B77W
385d03b8,AF281,RJTT,LFPG,AFR,B77W
385d03fc,UA2,WSSS,KSFO,UAL,B789
385d053c,KE969,RKSI,LKPR,KAL,B789
385d09bd,EK212,KIAH,OMDB,UAE,A388
385d09cd,KE91,RKSI,KBOS,KAL,B77W
385d0e64,AM57,RJAA,MMMX,AMX,B789
385d0f42,TW407,RKSI,LEBL,TWB,A332
385d0f97,QR778,KMIA,OTHH,QTR,A35K
385d0fc6,QR756,KATL,OTHH,QTR,A35K
385d10bf,CI81,RCTP,EGLL,CAL,A359
385d10f0,QR714,KIAH,OTHH,QTR,A35K
385d11b4,AI185,VIDP,CYVR,AIC,B77W
385d1424,UA99,YMML,KLAX,UAL,B789
385d1630,BA8,RJTT,EGLL,BAW,B789
385d182d,QF7,YSSY,KDFW,QFA,B789
385d1976,DL40,YSSY,KLAX,DAL,A359
385d1a75,JL43,RJTT,EGLL,JAL,B77W
385d1ab6,TK51,RJAA,LTFM,THY,B789
385d1ac4,AA292,KJFK,VIDP,AAL,B789
385d1b27,NH215,RJTT,LFPG,ANA,B789
385d1c7b,CZ438,KORD,ZSPD,CSN,B77L
385d1dd2,DL2917,KLGA,KORD,DAL,BCS3
385d1e47,AC42,CYYZ,VIDP,ACA,B77L
